2025-11-05 14:36:18 - Starting Chrome browser...
2025-11-05 14:36:20 - 
Processing 1970...
2025-11-05 14:36:20 -   Scraping: crd 1970...
2025-11-05 18:51:41 -   Scraping: atl 1972...
2025-11-05 18:53:43 -   Scraping: rav 1972...
2025-11-05 18:55:45 -   Scraping: bal 1972...
2025-11-05 18:57:47 -   Scraping: buf 1972...
2025-11-05 18:59:49 -   Scraping: car 1972...
2025-11-05 19:01:51 -   Scraping: chi 1972...
2025-11-05 19:03:53 -   Scraping: cin 1972...
2025-11-05 19:05:55 -   Scraping: cle 1972...
2025-11-05 19:07:57 -   Scraping: dal 1972...
2025-11-05 19:09:59 -   Scraping: den 1972...
2025-11-05 19:12:01 -   Scraping: det 1972...
2025-11-05 19:14:03 -   Scraping: gnb 1972...
2025-11-05 19:16:05 -   Scraping: oti 1972...
2025-11-05 19:18:07 -   Scraping: htx 1972...
2025-11-05 19:20:09 -   Scraping: clt 1972...
2025-11-05 19:22:11 -   Scraping: ind 1972...
2025-11-05 19:24:13 -   Scraping: jax 1972...
2025-11-05 19:26:15 -   Scraping: kan 1972...
2025-11-05 19:28:17 -   Scraping: sdg 1972...
2025-11-05 19:30:20 -   Scraping: ram 1972...
2025-11-05 19:32:22 -   Scraping: rai 1972...
2025-11-05 19:34:24 -   Scraping: oak 1972...
2025-11-05 19:36:26 -   Scraping: mia 1972...
2025-11-05 19:38:28 -   Scraping: min 1972...
2025-11-05 19:39:48 - ================================================================================
2025-11-05 19:39:48 - PRO FOOTBALL REFERENCE ROSTER SCRAPER (1970-2001) - SELENIUM VERSION
2025-11-05 19:39:48 - ================================================================================
2025-11-05 19:39:48 - 
2025-11-05 19:39:48 - Loading existing data...
2025-11-05 19:39:48 - Found existing data through 1971
2025-11-05 19:39:48 - Resuming from 1972...
2025-11-05 19:39:48 - Starting Chrome browser...
2025-11-05 19:39:52 - 
Processing 1972...
2025-11-05 20:32:09 - ================================================================================
2025-11-05 20:32:09 - PRO FOOTBALL REFERENCE ROSTER SCRAPER (1970-2001) - SELENIUM VERSION
2025-11-05 20:32:09 - ================================================================================
2025-11-05 20:32:09 - 
2025-11-05 20:32:09 - Loading existing data...
2025-11-05 20:32:09 - Found existing data through 1971
2025-11-05 20:32:09 - Resuming from 1972...
2025-11-05 20:32:09 - Starting Chrome browser...
2025-11-05 20:32:12 - 
Processing 1972...
2025-11-05 20:49:18 - ================================================================================
2025-11-05 20:49:18 - PRO FOOTBALL REFERENCE ROSTER SCRAPER - SIMPLE VERSION
2025-11-05 20:49:18 - ================================================================================
2025-11-05 20:49:18 - 
2025-11-05 20:49:18 - Loading existing data...
2025-11-05 20:49:18 - Found existing data through 1971
2025-11-05 20:49:18 - Resuming from 1972...
2025-11-05 20:49:23 - 
Processing 1972...
2025-11-05 20:49:27 -     Found 24 players
2025-11-05 20:49:31 -     Found 24 players
2025-11-05 20:49:47 -     Found 25 players
2025-11-05 20:51:55 - ================================================================================
2025-11-05 20:51:55 - PRO FOOTBALL REFERENCE ROSTER SCRAPER - SIMPLE VERSION
2025-11-05 20:51:55 - ================================================================================
2025-11-05 20:51:55 - 
2025-11-05 20:51:55 - Loading existing data...
2025-11-05 20:51:55 - Found existing data through 1971
2025-11-05 20:51:55 - Resuming from 1972...
2025-11-05 20:51:56 - 
Processing 1972...
2025-11-05 20:52:04 -     Found 24 players
2025-11-05 20:52:10 -     Found 24 players
2025-11-05 20:52:29 -     Found 25 players
2025-11-05 20:52:41 -     Found 24 players
2025-11-05 20:52:47 -     Found 24 players
2025-11-05 20:52:51 -     Found 24 players
2025-11-05 20:52:54 -     Found 24 players
2025-11-05 20:55:39 - ================================================================================
2025-11-05 20:55:39 - PRO FOOTBALL REFERENCE ROSTER SCRAPER - SIMPLE VERSION
2025-11-05 20:55:39 - ================================================================================
2025-11-05 20:55:39 - 
2025-11-05 20:55:39 - Loading existing data...
2025-11-05 20:55:39 - Found existing data through 1971
2025-11-05 20:55:39 - Resuming from 1972...
2025-11-05 20:55:39 - 
Processing 1972...
2025-11-05 20:55:44 -     Found 59 players
2025-11-05 20:55:50 -     Found 46 players
2025-11-05 20:56:08 -     Found 57 players
2025-11-05 20:56:17 -     Found 48 players
2025-11-05 20:56:24 -     Found 50 players
2025-11-05 20:56:31 -     Found 51 players
2025-11-05 20:56:37 -     Found 46 players
2025-11-05 20:56:44 -     Found 52 players
2025-11-05 20:56:50 -     Found 51 players
2025-11-05 20:56:57 -     Found 49 players
2025-11-05 20:57:02 -     Found 53 players
2025-11-05 20:57:10 -     Found 48 players
2025-11-05 20:57:22 -     Found 46 players
2025-11-05 20:57:27 -     Found 51 players
2025-11-05 20:57:31 -     Found 46 players
2025-11-05 20:57:35 -     Found 44 players
2025-11-05 20:57:40 -     Found 47 players
2025-11-05 20:57:44 -     Found 45 players
2025-11-05 20:57:52 -     Found 47 players
2025-11-05 20:57:58 -     Found 54 players
2025-11-05 20:58:03 -     Found 45 players
2025-11-05 20:58:08 -     Found 46 players
2025-11-05 20:58:14 -     Found 57 players
2025-11-05 20:58:21 -     Found 49 players
2025-11-05 20:58:26 -     Found 45 players
2025-11-05 20:58:44 -     Found 53 players
2025-11-05 20:58:52 -     Found 48 players
2025-11-05 20:58:52 -   >> Checkpoint saved: 2652 players
2025-11-05 20:58:52 - 
Processing 1973...
2025-11-05 20:58:56 -     Found 54 players
2025-11-05 20:59:03 -     Found 49 players
2025-11-05 20:59:20 -     Found 52 players
2025-11-05 20:59:35 -     Found 51 players
2025-11-05 20:59:42 -     Found 47 players
2025-11-05 20:59:50 -     Found 46 players
2025-11-05 20:59:56 -     Found 47 players
2025-11-05 21:00:02 -     Found 48 players
2025-11-05 21:00:08 -     Found 50 players
2025-11-05 21:00:14 -     Found 52 players
2025-11-05 21:00:20 -     Found 62 players
2025-11-05 21:00:25 -     Found 47 players
2025-11-05 21:00:41 -     Found 49 players
2025-11-05 21:00:47 -     Found 49 players
2025-11-05 21:00:55 -     Found 45 players
2025-11-05 21:01:02 -     Found 44 players
2025-11-05 21:01:06 -     Found 48 players
2025-11-05 21:01:10 -     Found 47 players
2025-11-05 21:01:17 -     Found 54 players
2025-11-05 21:01:22 -     Found 59 players
2025-11-05 21:01:28 -     Found 52 players
2025-11-05 21:01:32 -     Found 49 players
2025-11-05 21:01:37 -     Found 52 players
2025-11-05 21:01:43 -     Found 48 players
2025-11-05 21:01:50 -     Found 46 players
2025-11-05 21:02:09 -     Found 62 players
2025-11-05 21:02:14 -     Found 48 players
2025-11-05 21:02:14 -   >> Checkpoint saved: 4009 players
2025-11-05 21:02:14 - 
Processing 1974...
2025-11-05 21:02:21 -     Found 53 players
2025-11-05 21:02:25 -     Found 49 players
2025-11-05 21:02:42 -     Found 56 players
2025-11-05 21:02:52 -     Found 51 players
2025-11-05 21:02:58 -     Found 48 players
2025-11-05 21:03:04 -     Found 52 players
2025-11-05 21:03:11 -     Found 51 players
2025-11-05 21:03:14 -     Found 53 players
2025-11-05 21:03:22 -     Found 49 players
2025-11-05 21:03:30 -     Found 54 players
2025-11-05 21:03:36 -     Found 52 players
2025-11-05 21:03:43 -     Found 48 players
2025-11-05 21:03:55 -     Found 56 players
2025-11-05 21:03:59 -     Found 56 players
2025-11-05 21:04:04 -     Found 50 players
2025-11-05 21:04:11 -     Found 50 players
2025-11-05 21:04:19 -     Found 51 players
2025-11-05 21:04:23 -     Found 50 players
2025-11-05 21:04:31 -     Found 60 players
2025-11-05 21:04:38 -     Found 59 players
2025-11-05 21:04:42 -     Found 54 players
2025-11-05 21:04:49 -     Found 51 players
2025-11-05 21:04:52 -     Found 50 players
2025-11-05 21:04:56 -     Found 49 players
2025-11-05 21:05:01 -     Found 55 players
2025-11-05 21:05:16 -     Found 52 players
2025-11-05 21:05:20 -     Found 55 players
2025-11-05 21:05:20 -   >> Checkpoint saved: 5423 players
2025-11-05 21:05:20 - 
Processing 1975...
2025-11-05 21:05:24 -     Found 44 players
2025-11-05 21:05:32 -     Found 48 players
2025-11-05 21:05:48 -     Found 47 players
2025-11-05 21:05:59 -     Found 51 players
2025-11-05 21:06:05 -     Found 44 players
2025-11-05 21:06:10 -     Found 48 players
2025-11-05 21:06:14 -     Found 45 players
2025-11-05 21:06:20 -     Found 50 players
2025-11-05 21:06:28 -     Found 50 players
2025-11-05 21:06:34 -     Found 52 players
2025-11-05 21:06:40 -     Found 49 players
2025-11-05 21:06:44 -     Found 45 players
2025-11-05 21:06:52 -     Found 56 players
2025-11-05 21:06:57 -     Found 56 players
2025-11-05 21:07:04 -     Found 46 players
2025-11-05 21:07:11 -     Found 47 players
2025-11-05 21:07:18 -     Found 47 players
2025-11-05 21:07:25 -     Found 47 players
2025-11-05 21:07:33 -     Found 55 players
2025-11-05 21:07:36 -     Found 55 players
2025-11-05 21:07:44 -     Found 47 players
2025-11-05 21:07:50 -     Found 49 players
2025-11-05 21:07:55 -     Found 51 players
2025-11-05 21:08:02 -     Found 44 players
2025-11-05 21:08:06 -     Found 47 players
2025-11-05 21:08:26 -     Found 49 players
2025-11-05 21:08:31 -     Found 48 players
2025-11-05 21:08:31 -   >> Checkpoint saved: 6740 players
2025-11-05 21:08:31 - 
Processing 1976...
2025-11-05 21:08:36 -     Found 53 players
2025-11-05 21:08:40 -     Found 56 players
2025-11-05 21:09:00 -     Found 58 players
2025-11-05 21:09:07 -     Found 48 players
2025-11-05 21:09:12 -     Found 44 players
2025-11-05 21:09:18 -     Found 46 players
2025-11-05 21:09:22 -     Found 44 players
2025-11-05 21:09:26 -     Found 50 players
2025-11-05 21:09:33 -     Found 53 players
2025-11-05 21:09:40 -     Found 51 players
2025-11-05 21:09:44 -     Found 54 players
2025-11-05 21:09:52 -     Found 45 players
2025-11-05 21:10:04 -     Found 49 players
2025-11-05 21:10:09 -     Found 49 players
2025-11-05 21:10:16 -     Found 46 players
2025-11-05 21:10:20 -     Found 50 players
2025-11-05 21:10:27 -     Found 52 players
2025-11-05 21:10:35 -     Found 48 players
2025-11-05 21:10:41 -     Found 50 players
2025-11-05 21:10:49 -     Found 50 players
2025-11-05 21:10:53 -     Found 52 players
2025-11-05 21:10:59 -     Found 53 players
2025-11-05 21:11:07 -     Found 50 players
2025-11-05 21:11:13 -     Found 45 players
2025-11-05 21:11:18 -     Found 48 players
2025-11-05 21:11:25 -     Found 53 players
2025-11-05 21:11:30 -     Found 65 players
2025-11-05 21:11:38 -     Found 54 players
2025-11-05 21:11:41 -     Found 47 players
2025-11-05 21:11:42 -   >> Checkpoint saved: 8203 players
2025-11-05 21:11:42 - 
Processing 1977...
2025-11-05 21:11:48 -     Found 51 players
2025-11-05 21:11:52 -     Found 49 players
2025-11-05 21:12:07 -     Found 49 players
2025-11-05 21:12:17 -     Found 50 players
2025-11-05 21:12:25 -     Found 47 players
2025-11-05 21:12:32 -     Found 49 players
2025-11-05 21:12:38 -     Found 45 players
2025-11-05 21:12:46 -     Found 50 players
2025-11-05 21:12:54 -     Found 53 players
2025-11-05 21:12:58 -     Found 51 players
2025-11-05 21:13:06 -     Found 52 players
2025-11-05 21:13:12 -     Found 50 players
2025-11-05 21:13:26 -     Found 50 players
2025-11-05 21:13:30 -     Found 48 players
2025-11-05 21:13:37 -     Found 50 players
2025-11-05 21:13:42 -     Found 51 players
2025-11-05 21:13:48 -     Found 53 players
2025-11-05 21:13:52 -     Found 48 players
2025-11-05 21:13:57 -     Found 47 players
2025-11-05 21:14:01 -     Found 52 players
2025-11-05 21:14:07 -     Found 51 players
2025-11-05 21:14:12 -     Found 51 players
2025-11-05 21:14:18 -     Found 49 players
2025-11-05 21:14:22 -     Found 50 players
2025-11-05 21:14:29 -     Found 51 players
2025-11-05 21:14:32 -     Found 54 players
2025-11-05 21:14:37 -     Found 52 players
2025-11-05 21:14:42 -     Found 52 players
2025-11-05 21:14:47 -     Found 52 players
2025-11-05 21:14:48 -   >> Checkpoint saved: 9660 players
2025-11-05 21:14:48 - 
Processing 1978...
2025-11-05 21:14:54 -     Found 59 players
2025-11-05 21:14:57 -     Found 53 players
2025-11-05 21:15:14 -     Found 53 players
2025-11-05 21:15:22 -     Found 50 players
2025-11-05 21:15:29 -     Found 50 players
2025-11-05 21:15:35 -     Found 50 players
2025-11-05 21:15:40 -     Found 49 players
2025-11-05 21:15:45 -     Found 50 players
2025-11-05 21:15:53 -     Found 59 players
2025-11-05 21:15:58 -     Found 50 players
2025-11-05 21:16:06 -     Found 52 players
2025-11-05 21:16:15 -     Found 50 players
2025-11-05 21:16:28 -     Found 52 players
2025-11-05 21:16:34 -     Found 52 players
2025-11-05 21:16:42 -     Found 52 players
2025-11-05 21:16:46 -     Found 54 players
2025-11-05 21:16:52 -     Found 51 players
2025-11-05 21:17:00 -     Found 50 players
2025-11-05 21:17:07 -     Found 55 players
2025-11-05 21:17:13 -     Found 56 players
2025-11-05 21:17:21 -     Found 50 players
2025-11-05 21:17:27 -     Found 53 players
2025-11-05 21:17:31 -     Found 54 players
2025-11-05 21:17:36 -     Found 49 players
2025-11-05 21:17:40 -     Found 52 players
2025-11-05 21:17:47 -     Found 49 players
2025-11-05 21:17:54 -     Found 61 players
2025-11-05 21:18:02 -     Found 52 players
2025-11-05 21:18:06 -     Found 52 players
2025-11-05 21:18:07 -   >> Checkpoint saved: 11179 players
2025-11-05 21:18:07 - 
Processing 1979...
2025-11-05 21:18:11 -     Found 55 players
2025-11-05 21:18:19 -     Found 51 players
2025-11-05 21:18:36 -     Found 52 players
2025-11-05 21:18:43 -     Found 53 players
2025-11-05 21:18:48 -     Found 49 players
2025-11-05 21:18:54 -     Found 48 players
2025-11-05 21:19:01 -     Found 48 players
2025-11-05 21:19:09 -     Found 50 players
2025-11-05 21:19:17 -     Found 60 players
2025-11-05 21:19:23 -     Found 59 players
2025-11-05 21:19:31 -     Found 54 players
2025-11-05 21:19:36 -     Found 50 players
2025-11-05 21:19:46 -     Found 53 players
2025-11-05 21:19:53 -     Found 51 players
2025-11-05 21:20:00 -     Found 57 players
2025-11-05 21:20:04 -     Found 53 players
2025-11-05 21:20:07 -     Found 51 players
2025-11-05 21:20:12 -     Found 51 players
2025-11-05 21:20:18 -     Found 52 players
2025-11-05 21:20:23 -     Found 51 players
2025-11-05 21:20:31 -     Found 61 players
2025-11-05 21:20:36 -     Found 55 players
2025-11-05 21:20:44 -     Found 51 players
2025-11-05 21:20:49 -     Found 47 players
2025-11-05 21:20:57 -     Found 55 players
2025-11-05 21:21:02 -     Found 52 players
2025-11-05 21:21:09 -     Found 47 players
2025-11-05 21:21:15 -     Found 54 players
2025-11-05 21:21:18 -     Found 50 players
2025-11-05 21:21:19 -   >> Checkpoint saved: 12699 players
2025-11-05 21:21:19 - 
Processing 1980...
2025-11-05 21:21:26 -     Found 59 players
2025-11-05 21:21:33 -     Found 51 players
2025-11-05 21:21:52 -     Found 51 players
2025-11-05 21:22:04 -     Found 49 players
2025-11-05 21:22:09 -     Found 53 players
2025-11-05 21:22:13 -     Found 50 players
2025-11-05 21:22:19 -     Found 49 players
2025-11-05 21:22:25 -     Found 54 players
2025-11-05 21:22:30 -     Found 61 players
2025-11-05 21:22:36 -     Found 62 players
2025-11-05 21:22:40 -     Found 54 players
2025-11-05 21:22:48 -     Found 51 players
2025-11-05 21:23:01 -     Found 57 players
2025-11-05 21:23:07 -     Found 53 players
2025-11-05 21:23:12 -     Found 54 players
2025-11-05 21:23:20 -     Found 53 players
2025-11-05 21:23:26 -     Found 54 players
2025-11-05 21:23:29 -     Found 52 players
2025-11-05 21:23:35 -     Found 49 players
2025-11-05 21:23:42 -     Found 58 players
2025-11-05 21:23:49 -     Found 69 players
2025-11-05 21:23:54 -     Found 54 players
2025-11-05 21:23:59 -     Found 53 players
2025-11-05 21:24:03 -     Found 50 players
2025-11-05 21:24:10 -     Found 61 players
2025-11-05 21:24:14 -     Found 50 players
2025-11-05 21:24:19 -     Found 51 players
2025-11-05 21:24:27 -     Found 54 players
2025-11-05 21:24:31 -     Found 52 players
2025-11-05 21:24:32 -   >> Checkpoint saved: 14267 players
2025-11-05 21:24:32 - 
Processing 1981...
2025-11-05 21:24:36 -     Found 60 players
2025-11-05 21:24:41 -     Found 49 players
2025-11-05 21:24:56 -     Found 50 players
2025-11-05 21:25:06 -     Found 54 players
2025-11-05 21:25:11 -     Found 52 players
2025-11-05 21:25:17 -     Found 51 players
2025-11-05 21:25:23 -     Found 48 players
2025-11-05 21:25:29 -     Found 47 players
2025-11-05 21:25:35 -     Found 52 players
2025-11-05 21:25:42 -     Found 56 players
2025-11-05 21:25:45 -     Found 51 players
2025-11-05 21:25:49 -     Found 52 players
2025-11-05 21:26:00 -     Found 59 players
2025-11-05 21:26:05 -     Found 55 players
2025-11-05 21:26:13 -     Found 54 players
2025-11-05 21:26:17 -     Found 53 players
2025-11-05 21:26:23 -     Found 53 players
2025-11-05 21:26:28 -     Found 49 players
2025-11-05 21:26:33 -     Found 54 players
2025-11-05 21:26:39 -     Found 54 players
2025-11-05 21:26:44 -     Found 54 players
2025-11-05 21:26:51 -     Found 51 players
2025-11-05 21:26:58 -     Found 53 players
2025-11-05 21:27:04 -     Found 49 players
2025-11-05 21:27:10 -     Found 55 players
2025-11-05 21:27:15 -     Found 56 players
2025-11-05 21:27:23 -     Found 50 players
2025-11-05 21:27:28 -     Found 51 players
2025-11-05 21:27:34 -     Found 61 players
2025-11-05 21:27:35 -   >> Checkpoint saved: 15800 players
2025-11-05 21:27:35 - 
Processing 1982...
2025-11-05 21:27:42 -     Found 56 players
2025-11-05 21:27:45 -     Found 52 players
2025-11-05 21:28:03 -     Found 55 players
2025-11-05 21:28:17 -     Found 54 players
2025-11-05 21:28:23 -     Found 52 players
2025-11-05 21:28:26 -     Found 53 players
2025-11-05 21:28:31 -     Found 49 players
2025-11-05 21:28:39 -     Found 52 players
2025-11-05 21:28:45 -     Found 57 players
2025-11-05 21:28:49 -     Found 53 players
2025-11-05 21:28:53 -     Found 52 players
2025-11-05 21:29:00 -     Found 56 players
2025-11-05 21:29:12 -     Found 56 players
2025-11-05 21:29:15 -     Found 52 players
2025-11-05 21:29:22 -     Found 54 players
2025-11-05 21:29:29 -     Found 54 players
2025-11-05 21:29:35 -     Found 53 players
2025-11-05 21:29:40 -     Found 54 players
2025-11-05 21:29:47 -     Found 56 players
2025-11-05 21:29:50 -     Found 53 players
2025-11-05 21:29:58 -     Found 54 players
2025-11-05 21:30:06 -     Found 52 players
2025-11-05 21:30:11 -     Found 53 players
2025-11-05 21:30:15 -     Found 54 players
2025-11-05 21:30:22 -     Found 56 players
2025-11-05 21:30:26 -     Found 52 players
2025-11-05 21:30:33 -     Found 52 players
2025-11-05 21:30:40 -     Found 52 players
2025-11-05 21:30:45 -     Found 52 players
2025-11-05 21:30:46 -   >> Checkpoint saved: 17350 players
2025-11-05 21:30:46 - 
Processing 1983...
2025-11-05 21:30:51 -     Found 58 players
2025-11-05 21:30:58 -     Found 56 players
2025-11-05 21:31:18 -     Found 58 players
2025-11-05 21:31:32 -     Found 58 players
2025-11-05 21:31:39 -     Found 53 players
2025-11-05 21:31:46 -     Found 51 players
2025-11-05 21:31:51 -     Found 53 players
2025-11-05 21:31:56 -     Found 58 players
2025-11-05 21:32:02 -     Found 53 players
2025-11-05 21:32:05 -     Found 59 players
2025-11-05 21:32:11 -     Found 60 players
2025-11-05 21:32:14 -     Found 58 players
2025-11-05 21:32:26 -     Found 56 players
2025-11-05 21:32:32 -     Found 57 players
2025-11-05 21:32:38 -     Found 57 players
2025-11-05 21:32:45 -     Found 57 players
2025-11-05 21:32:52 -     Found 54 players
2025-11-05 21:32:56 -     Found 56 players
2025-11-05 21:33:01 -     Found 59 players
2025-11-05 21:33:06 -     Found 55 players
2025-11-05 21:33:11 -     Found 63 players
2025-11-05 21:33:19 -     Found 55 players
2025-11-05 21:33:25 -     Found 55 players
2025-11-05 21:33:31 -     Found 55 players
2025-11-05 21:33:39 -     Found 59 players
2025-11-05 21:33:46 -     Found 55 players
2025-11-05 21:33:53 -     Found 62 players
2025-11-05 21:33:57 -     Found 60 players
2025-11-05 21:34:03 -     Found 53 players
2025-11-05 21:34:03 -   >> Checkpoint saved: 18993 players
2025-11-05 21:34:03 - 
Processing 1984...
2025-11-05 21:34:07 -     Found 58 players
2025-11-05 21:34:13 -     Found 60 players
2025-11-05 21:34:28 -     Found 62 players
2025-11-05 21:34:39 -     Found 55 players
2025-11-05 21:34:43 -     Found 55 players
2025-11-05 21:34:50 -     Found 58 players
2025-11-05 21:34:55 -     Found 58 players
2025-11-05 21:35:00 -     Found 55 players
2025-11-05 21:35:03 -     Found 57 players
2025-11-05 21:35:09 -     Found 59 players
2025-11-05 21:35:13 -     Found 58 players
2025-11-05 21:35:20 -     Found 61 players
2025-11-05 21:35:32 -     Found 56 players
2025-11-05 21:35:37 -     Found 66 players
2025-11-05 21:35:42 -     Found 57 players
2025-11-05 21:35:45 -     Found 61 players
2025-11-05 21:35:53 -     Found 56 players
2025-11-05 21:35:58 -     Found 63 players
2025-11-05 21:36:02 -     Found 57 players
2025-11-05 21:36:09 -     Found 58 players
2025-11-05 21:36:16 -     Found 51 players
2025-11-05 21:36:22 -     Found 58 players
2025-11-05 21:36:28 -     Found 54 players
2025-11-05 21:36:36 -     Found 58 players
2025-11-05 21:36:40 -     Found 57 players
2025-11-05 21:36:48 -     Found 58 players
2025-11-05 21:36:55 -     Found 62 players
2025-11-05 21:37:02 -     Found 58 players
2025-11-05 21:37:10 -     Found 63 players
2025-11-05 21:37:11 -   >> Checkpoint saved: 20682 players
2025-11-05 21:37:11 - 
Processing 1985...
2025-11-05 21:37:14 -     Found 55 players
2025-11-05 21:37:20 -     Found 58 players
2025-11-05 21:37:36 -     Found 57 players
2025-11-05 21:37:45 -     Found 49 players
2025-11-05 21:37:50 -     Found 51 players
2025-11-05 21:37:54 -     Found 51 players
2025-11-05 21:38:00 -     Found 52 players
2025-11-05 21:38:07 -     Found 51 players
2025-11-05 21:38:12 -     Found 62 players
2025-11-05 21:38:17 -     Found 56 players
2025-11-05 21:38:20 -     Found 51 players
2025-11-05 21:38:28 -     Found 55 players
2025-11-05 21:38:38 -     Found 56 players
2025-11-05 21:38:44 -     Found 62 players
2025-11-05 21:38:52 -     Found 54 players
2025-11-05 21:38:56 -     Found 56 players
2025-11-05 21:39:02 -     Found 56 players
2025-11-05 21:39:10 -     Found 51 players
2025-11-05 21:39:16 -     Found 50 players
2025-11-05 21:39:20 -     Found 60 players
2025-11-05 21:39:28 -     Found 54 players
2025-11-05 21:39:32 -     Found 58 players
2025-11-05 21:39:37 -     Found 55 players
2025-11-05 21:39:42 -     Found 56 players
2025-11-05 21:39:49 -     Found 52 players
2025-11-05 21:39:55 -     Found 55 players
2025-11-05 21:40:01 -     Found 58 players
2025-11-05 21:40:05 -     Found 51 players
2025-11-05 21:40:11 -     Found 56 players
2025-11-05 21:40:12 -   >> Checkpoint saved: 22270 players
2025-11-05 21:40:12 - 
Processing 1986...
2025-11-05 21:40:17 -     Found 59 players
2025-11-05 21:40:20 -     Found 61 players
2025-11-05 21:40:36 -     Found 58 players
2025-11-05 21:40:51 -     Found 51 players
2025-11-05 21:40:56 -     Found 49 players
2025-11-05 21:41:02 -     Found 52 players
2025-11-05 21:41:07 -     Found 53 players
2025-11-05 21:41:15 -     Found 53 players
2025-11-05 21:41:20 -     Found 56 players
2025-11-05 21:41:26 -     Found 64 players
2025-11-05 21:41:31 -     Found 59 players
2025-11-05 21:41:35 -     Found 59 players
2025-11-05 21:41:48 -     Found 55 players
2025-11-05 21:41:53 -     Found 60 players
2025-11-05 21:41:57 -     Found 56 players
2025-11-05 21:42:02 -     Found 53 players
2025-11-05 21:42:08 -     Found 59 players
2025-11-05 21:42:16 -     Found 54 players
2025-11-05 21:42:22 -     Found 55 players
2025-11-05 21:42:25 -     Found 57 players
2025-11-05 21:42:30 -     Found 52 players
2025-11-05 21:42:35 -     Found 58 players
2025-11-05 21:42:41 -     Found 57 players
2025-11-05 21:42:48 -     Found 53 players
2025-11-05 21:42:52 -     Found 58 players
2025-11-05 21:42:57 -     Found 52 players
2025-11-05 21:43:04 -     Found 57 players
2025-11-05 21:43:08 -     Found 59 players
2025-11-05 21:43:14 -     Found 59 players
2025-11-05 21:43:15 -   >> Checkpoint saved: 23898 players
2025-11-05 21:43:15 - 
Processing 1987...
2025-11-05 21:43:21 -     Found 87 players
2025-11-05 21:43:28 -     Found 110 players
2025-11-05 21:43:45 -     Found 108 players
2025-11-05 21:43:58 -     Found 100 players
2025-11-05 21:44:04 -     Found 94 players
2025-11-05 21:44:10 -     Found 104 players
2025-11-05 21:44:17 -     Found 92 players
2025-11-05 21:44:24 -     Found 95 players
2025-11-05 21:44:32 -     Found 108 players
2025-11-05 21:44:39 -     Found 109 players
2025-11-05 21:44:46 -     Found 100 players
2025-11-05 21:44:51 -     Found 100 players
2025-11-05 21:45:02 -     Found 108 players
2025-11-05 21:45:10 -     Found 102 players
2025-11-05 21:45:15 -     Found 98 players
2025-11-05 21:45:19 -     Found 105 players
2025-11-05 21:45:23 -     Found 105 players
2025-11-05 21:45:27 -     Found 113 players
2025-11-05 21:45:34 -     Found 100 players
2025-11-05 21:45:39 -     Found 96 players
2025-11-05 21:45:45 -     Found 104 players
2025-11-05 21:45:51 -     Found 98 players
2025-11-05 21:45:55 -     Found 111 players
2025-11-05 21:46:03 -     Found 93 players
2025-11-05 21:46:11 -     Found 100 players
2025-11-05 21:46:14 -     Found 112 players
2025-11-05 21:46:20 -     Found 109 players
2025-11-05 21:46:25 -     Found 100 players
2025-11-05 21:46:30 -     Found 109 players
2025-11-05 21:46:30 -   >> Checkpoint saved: 26868 players
2025-11-05 21:46:30 - 
Processing 1988...
2025-11-05 21:46:36 -     Found 59 players
2025-11-05 21:46:39 -     Found 60 players
2025-11-05 21:46:56 -     Found 55 players
2025-11-05 21:47:03 -     Found 54 players
2025-11-05 21:47:10 -     Found 56 players
2025-11-05 21:47:18 -     Found 53 players
2025-11-05 21:47:22 -     Found 56 players
2025-11-05 21:47:28 -     Found 57 players
2025-11-05 21:47:34 -     Found 60 players
2025-11-05 21:47:39 -     Found 63 players
2025-11-05 21:47:47 -     Found 53 players
2025-11-05 21:47:50 -     Found 60 players
2025-11-05 21:48:00 -     Found 63 players
2025-11-05 21:48:05 -     Found 61 players
2025-11-05 21:48:10 -     Found 56 players
2025-11-05 21:48:17 -     Found 58 players
2025-11-05 21:48:21 -     Found 57 players
2025-11-05 21:48:27 -     Found 56 players
2025-11-05 21:48:35 -     Found 56 players
2025-11-05 21:48:41 -     Found 57 players
2025-11-05 21:48:48 -     Found 58 players
2025-11-05 21:48:55 -     Found 55 players
2025-11-05 21:49:01 -     Found 56 players
2025-11-05 21:49:08 -     Found 54 players
2025-11-05 21:49:16 -     Found 58 players
2025-11-05 21:49:23 -     Found 55 players
2025-11-05 21:49:27 -     Found 61 players
2025-11-05 21:49:34 -     Found 53 players
2025-11-05 21:49:37 -     Found 61 players
2025-11-05 21:49:38 -   >> Checkpoint saved: 28529 players
2025-11-05 21:49:38 - 
Processing 1989...
2025-11-05 21:49:44 -     Found 61 players
2025-11-05 21:49:51 -     Found 57 players
2025-11-05 21:50:05 -     Found 55 players
2025-11-05 21:50:15 -     Found 55 players
2025-11-05 21:50:21 -     Found 57 players
2025-11-05 21:50:28 -     Found 55 players
2025-11-05 21:50:31 -     Found 65 players
2025-11-05 21:50:36 -     Found 52 players
2025-11-05 21:50:42 -     Found 61 players
2025-11-05 21:50:45 -     Found 52 players
2025-11-05 21:50:53 -     Found 51 players
2025-11-05 21:50:57 -     Found 55 players
2025-11-05 21:51:08 -     Found 60 players
2025-11-05 21:51:15 -     Found 60 players
2025-11-05 21:51:23 -     Found 56 players
