====================================================================================================
COLLEGES NEEDING MAPPING DECISIONS
====================================================================================================

Total colleges in Madden list: 493
Total unique colleges in source files: 1897
Colleges that match exactly: 415
Colleges needing mapping: 1482
Player instances affected: 31730

====================================================================================================
COLLEGES NEEDING MAPPING (sorted by frequency)
====================================================================================================

Source Name                                        Count      Status
Colorado St.,Colorado Mesa                         1          NEEDS DECISION
Liberty,West Alabama                               1          NEEDS DECISION
Tennessee St.,Fordham                              1          NEEDS DECISION
Valparaiso,Indiana                                 1          NEEDS DECISION
Arizona St.,Northern Arizona                       1          NEEDS DECISION
Independence (KS),Western Illinois                 1          NEEDS DECISION
Texas-El Paso,Memphis                              1          NEEDS DECISION
Dana                                               1          NEEDS DECISION
C.W. Post,New York Tech                            1          NEEDS DECISION
Idaho,Carroll (MT)                                 1          NEEDS DECISION
Taylor                                             1          NEEDS DECISION
Kent St.,Findlay                                   1          NEEDS DECISION
Central State (OH),Cincinnati                      1          NEEDS DECISION
South Carolina St.,Bethune-Cookman                 1          NEEDS DECISION
Florida St.,Murray St.                             1          NEEDS DECISION
Connecticut,West Virginia                          1          NEEDS DECISION
Penn St.,Ball St.                                  1          NEEDS DECISION
Texas Tech,Fresno St.                              1          NEEDS DECISION
Tennessee,Missouri                                 1          NEEDS DECISION
Central Arkansas,Arkansas                          1          NEEDS DECISION
Rhode Island,Massachusetts                         1          NEEDS DECISION
Texas A&M,Baylor                                   1          NEEDS DECISION
East Carolina,Catawba                              1          NEEDS DECISION
NW Missouri St.,Oklahoma St.                       1          NEEDS DECISION
Tennessee,Texas                                    1          NEEDS DECISION
Plymouth St.                                       1          NEEDS DECISION
Wisconsin,WisconsinâWhitewater                   1          NEEDS DECISION
Springfield,Troy                                   1          NEEDS DECISION
LSU,Louisiana                                      1          NEEDS DECISION
Cal Poly-Pomona,Wichita St.                        1          NEEDS DECISION
Evangel (MO)                                       1          NEEDS DECISION
Iowa Central,Illinois St.                          1          NEEDS DECISION
Chabot,Eastern Illinois                            1          NEEDS DECISION
Salem,Findlay                                      1          NEEDS DECISION
Illinois,Bethune-Cookman                           1          NEEDS DECISION
Sacramento CC,Arizona                              1          NEEDS DECISION
Florida,Fort Hays St.                              1          NEEDS DECISION
Cal State-Fullerton,Iowa St.                       1          NEEDS DECISION
Iowa St.,Bowling Green                             1          NEEDS DECISION
Oregon St.,BYU                                     1          NEEDS DECISION
Wesley,Hampton                                     1          NEEDS DECISION
Northern Illinois,Northern Iowa                    1          NEEDS DECISION
Illinois,Texas A&M                                 1          NEEDS DECISION
Moraine Valley CC (IL)                             1          NEEDS DECISION
Vanderbilt,Southern Miss                           1          NEEDS DECISION
Elmhurst                                           1          NEEDS DECISION
Southern Miss,Jackson St.                          1          NEEDS DECISION
Concordia (WI),Lincoln (MO)                        1          NEEDS DECISION
Baldwin Wallace,Central Florida                    1          NEEDS DECISION
Iowa,Upsala                                        1          NEEDS DECISION
Kentucky,North Carolina St.                        1          NEEDS DECISION
Adams St.,Colorado Mesa                            1          NEEDS DECISION
Davidson,North Carolina St.                        1          NEEDS DECISION
Tulane,Utah St.                                    1          NEEDS DECISION
Cisco (TX),Texas St.                               1          NEEDS DECISION
Idaho St.,South Dakota St.                         1          NEEDS DECISION
Colorado,Colorado State-Pueblo                     1          NEEDS DECISION
West Chester,Kutztown (PA)                         1          NEEDS DECISION
Illinois,Illinois St.                              1          NEEDS DECISION
Menlo,Stanford                                     1          NEEDS DECISION
Colorado State-Pueblo,Idaho                        1          NEEDS DECISION
William Paterson                                   1          NEEDS DECISION
Allentown College,Southern Connecticut St.         1          NEEDS DECISION
Michigan,Houston                                   1          NEEDS DECISION
Kansas St.,Southern                                1          NEEDS DECISION
SMU,Grambling St.                                  1          NEEDS DECISION
Colorado,San Jose St.                              1          NEEDS DECISION
North Carolina St.,Southern                        1          NEEDS DECISION
Anderson (IN),Western Kentucky                     1          NEEDS DECISION
Ursinus,Pennsylvania                               1          NEEDS DECISION
Butler (KS),Kansas,Wichita St.                     1          NEEDS DECISION
Lock Haven,Clarion,Indiana (PA)                    1          NEEDS DECISION
Northwestern,Boston Col.                           1          NEEDS DECISION
Central Oklahoma,NW Oklahoma St.                   1          NEEDS DECISION
Miami (FL),California Lutheran                     1          NEEDS DECISION
Simon Fraser,British Columbia                      1          NEEDS DECISION
San Diego St.,Sacramento St.                       1          NEEDS DECISION
Ohio St.,Mount Union                               1          NEEDS DECISION
Colorado St.,Boise St.                             1          NEEDS DECISION
Utah St.,Prairie View A&M                          1          NEEDS DECISION
Cal State-Northridge,Fresno St.                    1          NEEDS DECISION
Grossmont College (CA),BYU                         1          NEEDS DECISION
William & Mary,Tennessee                           1          NEEDS DECISION
British Columbia,Idaho                             1          NEEDS DECISION
Illinois Benedictine,Eastern Illinois              1          NEEDS DECISION
Utah St.,Weber St.                                 1          NEEDS DECISION
Drake,Utah St.                                     1          NEEDS DECISION
Miami (FL),Kentucky                                1          NEEDS DECISION
Long Beach St.,San Diego St.                       1          NEEDS DECISION
San Diego St.,UNLV                                 1          NEEDS DECISION
Principia                                          1          NEEDS DECISION
Oregon St.,Boise St.                               1          NEEDS DECISION
Purdue,Utah                                        1          NEEDS DECISION
Wisconsin,St. Leo                                  1          NEEDS DECISION
Maryland,Cincinnati,Miami (FL)                     1          NEEDS DECISION
Boston Univ.,Southern Connecticut St.              1          NEEDS DECISION
Wichita St.,Louisville                             1          NEEDS DECISION
The Citadel,Jackson St.,Savannah St.               1          NEEDS DECISION
Oregon St.,Portland St.                            1          NEEDS DECISION
Iowa Central,Washburn                              1          NEEDS DECISION
Kansas St.,Nebraska                                1          NEEDS DECISION
Iowa St.,Arizona                                   1          NEEDS DECISION
Wisconsin,Minnesota                                1          NEEDS DECISION
Washington St.,Cal State-Fullerton                 1          NEEDS DECISION
Oklahoma St.,SE Oklahoma St.                       1          NEEDS DECISION
College of the Redwoods,Weber St.,Humboldt St.     1          NEEDS DECISION
Utah St.,Idaho St.                                 1          NEEDS DECISION
Eastern Washington,Arizona                         1          NEEDS DECISION
Georgia Tech,Miami (FL)                            1          NEEDS DECISION
Montana Tech,Pacific Lutheran                      1          NEEDS DECISION
Northwest Mississippi CC,Alabama A&M               1          NEEDS DECISION
Willamette,Arizona St.                             1          NEEDS DECISION
Valdosta St.,Pittsburg St.                         1          NEEDS DECISION
Holy Cross (IN),Notre Dame                         1          NEEDS DECISION
Salem,Ohio                                         1          NEEDS DECISION
Coffeyville CC,Alabama                             1          NEEDS DECISION
Northwestern,Colorado St.                          1          NEEDS DECISION
Arkansas,Henderson St.                             1          NEEDS DECISION
Johnson C. Smith,VMI                               1          NEEDS DECISION
California,C.W. Post                               1          NEEDS DECISION
Florida St.,Evangel (MO)                           1          NEEDS DECISION
Tennessee St.,Western Michigan                     1          NEEDS DECISION
Arizona St.,Fresno St.                             1          NEEDS DECISION
Catawba,Hampton                                    1          NEEDS DECISION
Tennessee,Pacific                                  1          NEEDS DECISION
Michigan,Boston Col.                               1          NEEDS DECISION
Eastern Arizona,Highline,Utah                      1          NEEDS DECISION
Indiana,Butler                                     1          NEEDS DECISION
Hofstra,Rhode Island                               1          NEEDS DECISION
NE Oklahoma A&M,Tennessee                          1          NEEDS DECISION
Arkansas,Sonoma St.                                1          NEEDS DECISION
Iowa,Arizona St.                                   1          NEEDS DECISION
Mississippi Gulf Coast CC,LSU                      1          NEEDS DECISION
Tennessee,Louisville                               1          NEEDS DECISION
Florida,Marshall                                   1          NEEDS DECISION
Iowa St.,Morgan St.                                1          NEEDS DECISION
Independence (KS),Kansas                           1          NEEDS DECISION
Vanderbilt,Troy                                    1          NEEDS DECISION
Mississippi Gulf Coast CC,Temple                   1          NEEDS DECISION
Arkansas Tech,Northwestern St. (LA)                1          NEEDS DECISION
Colorado,West Virginia                             1          NEEDS DECISION
Illinois,Evansville,Northwestern                   1          NEEDS DECISION
Mississippi,Arkansas,Lambuth                       1          NEEDS DECISION
Savannah St.,Troy                                  1          NEEDS DECISION
Georgia,Hinds CC                                   1          NEEDS DECISION
Santa Monica College (CA),Utah                     1          NEEDS DECISION
Stanford,Yale                                      1          NEEDS DECISION
Cerritos (CA),Oregon St.                           1          NEEDS DECISION
Langston,Santa Monica College (CA),Oregon St.      1          NEEDS DECISION
East Mississippi CC,Ala-Birmingham                 1          NEEDS DECISION
Garden City (KS)                                   1          NEEDS DECISION
Snow College (UT),Kansas St.                       1          NEEDS DECISION
Florida St.,South Florida                          1          NEEDS DECISION
Central State (OH),Memphis                         1          NEEDS DECISION
Boston Univ.,Maine                                 1          NEEDS DECISION
Wisconsin,Maryland                                 1          NEEDS DECISION
Indiana,Illinois St.                               1          NEEDS DECISION
St. Cloud St.,WisconsinâStout                    1          NEEDS DECISION
Mississippi Gulf Coast CC,Georgia                  1          NEEDS DECISION
Eastern Arizona,Fresno St.                         1          NEEDS DECISION
Furman,Carson-Newman                               1          NEEDS DECISION
Hinds CC,Mississippi St.                           1          NEEDS DECISION
N. Car A&T                                         1          NEEDS DECISION
Elon College                                       1          NEEDS DECISION
Nebr.-Omaha                                        1          NEEDS DECISION
Cent Conn St.                                      1          NEEDS DECISION
E. Tenn. St.                                       1          NEEDS DECISION
Montreal Univ.                                     1          NEEDS DECISION
Southeastern Oklahoma State University             1          NEEDS DECISION
Saint Mary's (CA)                                  1          NEEDS DECISION
DePaul                                             1          NEEDS DECISION
Texas Western                                      1          NEEDS DECISION
St. Anselm                                         1          NEEDS DECISION
St. Mary's (MN)                                    1          NEEDS DECISION
Union (TN)                                         1          NEEDS DECISION
Portland                                           1          NEEDS DECISION
Haverford                                          1          NEEDS DECISION
Hampden–Sydney                                     1          NEEDS DECISION
UW–Platteville                                     1          NEEDS DECISION
Brooklyn                                           1          NEEDS DECISION
Alabama/Navy                                       1          NEEDS DECISION
Dickinson                                          1          NEEDS DECISION
Kansas Wesleyan                                    1          NEEDS DECISION
Tulsa/Army                                         1          NEEDS DECISION
Compton JC                                         1          NEEDS DECISION
Rollins                                            1          NEEDS DECISION
St. Edward's                                       1          NEEDS DECISION
Rensselaer Polytechnic Institute                   1          NEEDS DECISION
Dakota Wesleyan                                    1          NEEDS DECISION
Loyola (CA)                                        1          NEEDS DECISION
Oklahoma A&M                                       1          NEEDS DECISION
Arnold                                             1          NEEDS DECISION
Mansfield                                          1          NEEDS DECISION
Colorado/Army                                      1          NEEDS DECISION
Lewis University                                   1          NEEDS DECISION
Army/William Jewell                                1          NEEDS DECISION
Army/Missouri                                      1          NEEDS DECISION
Army/Beloit                                        1          NEEDS DECISION
Army/Notre Dame                                    1          NEEDS DECISION
Panola JC                                          1          NEEDS DECISION
Army/Kansas St.                                    1          NEEDS DECISION
Army/Villanova                                     1          NEEDS DECISION
Navy/Syracuse                                      1          NEEDS DECISION
Arkansas City JC                                   1          NEEDS DECISION
Ozarks (AR)                                        1          NEEDS DECISION
Alfred                                             1          NEEDS DECISION
Syracuse/Army                                      1          NEEDS DECISION
Eureka (IL)                                        1          NEEDS DECISION
Col. of Emporia                                    1          NEEDS DECISION
Brandeis                                           1          NEEDS DECISION
Lincoln (PA)                                       1          NEEDS DECISION
Glenville St.                                      1          NEEDS DECISION
Miles                                              1          NEEDS DECISION
Tyler JC                                           1          NEEDS DECISION
Morris Harvey College                              1          NEEDS DECISION
Contra Costa JC                                    1          NEEDS DECISION
San Diego City Coll                                1          NEEDS DECISION
Southwest JC (MS)                                  1          NEEDS DECISION
Beloit                                             1          NEEDS DECISION
LA City College                                    1          NEEDS DECISION
Bridgeport                                         1          NEEDS DECISION
Compton Junior College                             1          NEEDS DECISION
Cornell Col.                                       1          NEEDS DECISION
San Bernardino Valley                              1          NEEDS DECISION
Compton                                            1          NEEDS DECISION
Minnesota–Duluth                                   1          NEEDS DECISION
Northeast Louisiana State                          1          NEEDS DECISION
Marietta                                           1          NEEDS DECISION
San Francisco State                                1          NEEDS DECISION
Wenatchee Valley JC                                1          NEEDS DECISION
Texas–Arlington                                    1          NEEDS DECISION
Phoenix College                                    1          NEEDS DECISION
Cortland St.                                       1          NEEDS DECISION
Kalamazoo                                          1          NEEDS DECISION
Midland Lutheran                                   1          NEEDS DECISION
Franklin (IN)                                      1          NEEDS DECISION
Ithaca                                             1          NEEDS DECISION
Northland (WI)                                     1          NEEDS DECISION
No. Montana                                        1          NEEDS DECISION
Palomar                                            1          NEEDS DECISION
Lakeland                                           1          NEEDS DECISION
George Fox                                         1          NEEDS DECISION
Johns Hopkins                                      1          NEEDS DECISION
Black Hills St.                                    1          NEEDS DECISION
Lebanon Valley                                     1          NEEDS DECISION
Arkansas AM&N                                      1          NEEDS DECISION
Northern Virginia                                  1          NEEDS DECISION
Cal Poly-Pomona                                    1          NEEDS DECISION
Sterling                                           1          NEEDS DECISION
Claremont-Mudd-Scripps                             1          NEEDS DECISION
Saint Louis                                        1          NEEDS DECISION
Massachusetts-Boston                               1          NEEDS DECISION
Wichita State                                      1          NEEDS DECISION
Wisconsin-Milwaukee                                1          NEEDS DECISION
Valley City                                        1          NEEDS DECISION
Western Montana                                    1          NEEDS DECISION
Glassboro State                                    1          NEEDS DECISION
Milton College                                     1          NEEDS DECISION
Cal State                                          1          NEEDS DECISION
Ursinus                                            1          NEEDS DECISION
Cal State Hayward                                  1          NEEDS DECISION
Wilmington                                         1          NEEDS DECISION
American International                             1          NEEDS DECISION
East Texas State                                   1          NEEDS DECISION
Plymouth State                                     1          NEEDS DECISION
C. W. Post                                         1          NEEDS DECISION
Saint Joseph's                                     1          NEEDS DECISION
Coffeyville J.C.                                   1          NEEDS DECISION
Southwest Texas State                              1          NEEDS DECISION
East Texas                                         1          NEEDS DECISION
Long Beach City College                            1          NEEDS DECISION
Winston–Salem State                                1          NEEDS DECISION
SJ St.                                             1          NEEDS DECISION
Panhandle State                                    1          NEEDS DECISION
Cortland                                           1          NEEDS DECISION
Southwest Missouri State                           1          NEEDS DECISION
Rocky Mountain                                     1          NEEDS DECISION
Hinds CC                                           1          NEEDS DECISION
Garden City CC                                     1          NEEDS DECISION
Wisconsin–Stout                                    1          NEEDS DECISION
Brockport                                          1          NEEDS DECISION
Winston-Salem State                                1          NEEDS DECISION
Menlo                                              1          NEEDS DECISION
Southern Connecticut                               1          NEEDS DECISION
Central Missouri State                             1          NEEDS DECISION
Coe                                                1          NEEDS DECISION
ITESM                                              1          NEEDS DECISION
Pearl River CC                                     1          NEEDS DECISION
MichSt                                             1          NEEDS DECISION
Bethel (TN)                                        1          NEEDS DECISION
Northwest Missouri State                           1          NEEDS DECISION
Monmouth (IL)                                      1          NEEDS DECISION
Wash St                                            1          NEEDS DECISION
Wisconsin–Milwaukee                                1          NEEDS DECISION
K St                                               1          NEEDS DECISION
SJSt                                               1          NEEDS DECISION
Ari St                                             1          NEEDS DECISION
W. Ken                                             1          NEEDS DECISION
PennWest California                                1          NEEDS DECISION
Oreg. St.                                          1          NEEDS DECISION
RPI                                                1          NEEDS DECISION
Marshfield                                         1          NEEDS DECISION
Wesley                                             1          NEEDS DECISION
Concordia–Moorhead                                 1          NEEDS DECISION
VCU                                                1          NEEDS DECISION
Greenville                                         1          NEEDS DECISION
Tenn of Chat                                       1          NEEDS DECISION
Miss. Western                                      1          NEEDS DECISION
Duka                                               1          NEEDS DECISION
York                                               1          NEEDS DECISION
OrSU                                               1          NEEDS DECISION
N. Ari.                                            1          NEEDS DECISION
Fresno                                             1          NEEDS DECISION
UL Mon.                                            1          NEEDS DECISION
Valdosta                                           1          NEEDS DECISION
Berry                                              1          NEEDS DECISION
W. Illi                                            1          NEEDS DECISION
E Mich                                             1          NEEDS DECISION
Sac St.                                            1          NEEDS DECISION
Friends                                            1          NEEDS DECISION
M Tenn St.                                         1          NEEDS DECISION
S Dakota St.                                       1          NEEDS DECISION
Ball                                               1          NEEDS DECISION
N.C. A&T                                           1          NEEDS DECISION
Wisconsin Pal.                                     1          NEEDS DECISION
Miss. State                                        1          NEEDS DECISION
Tennessee Chat.                                    1          NEEDS DECISION
Miss. West                                         1          NEEDS DECISION
Ark. State                                         1          NEEDS DECISION
Nicholls                                           1          NEEDS DECISION
SD                                                 1          NEEDS DECISION
NMU                                                1          NEEDS DECISION
San Jose CC                                        1          NEEDS DECISION
McNeese                                            1          NEEDS DECISION
Marrietta                                          1          NEEDS DECISION
N. Dakota St.                                      1          NEEDS DECISION
N Texas                                            1          NEEDS DECISION
Ohio Dom                                           1          NEEDS DECISION
Tex S.                                             1          NEEDS DECISION
C. Conn St.                                        1          NEEDS DECISION
ESU                                                1          NEEDS DECISION
S. Utah                                            1          NEEDS DECISION
G. Tech                                            1          NEEDS DECISION
Grambling                                          1          NEEDS DECISION
SE Louisania                                       1          NEEDS DECISION
NM St.                                             1          NEEDS DECISION
Mercyhurst                                         1          NEEDS DECISION
SE MSt.                                            1          NEEDS DECISION
Tech Tech                                          1          NEEDS DECISION
Murray                                             1          NEEDS DECISION
Carrol                                             1          NEEDS DECISION
E. Wash                                            1          NEEDS DECISION
Bosie St.                                          1          NEEDS DECISION
SCSt.                                              1          NEEDS DECISION
E. Ken                                             1          NEEDS DECISION
Cen. Wash.                                         1          NEEDS DECISION
Ili St.                                            1          NEEDS DECISION
Indi St.                                           1          NEEDS DECISION
SE Louis                                           1          NEEDS DECISION
Tenn St.                                           1          NEEDS DECISION
W. Kent                                            1          NEEDS DECISION
Bukcs                                              1          NEEDS DECISION
Miss. St.                                          1          NEEDS DECISION
Old Dom.                                           1          NEEDS DECISION
CCU                                                1          NEEDS DECISION
C. Mich                                            1          NEEDS DECISION
Miss Valley                                        1          NEEDS DECISION
